full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/20101/fame,fame,Russia,21 years,Virtus.pro,0.68,1.1,0.71,75.5,98.4,47.5%,1.2,17.3%,0.41,0.09,0.13,26.0%,26.0%,0.12,18.1%,0.65,0.11,0.1,21.5%,52.1%,73.2%,2.59,0.01,0.01,1.7%,1.0%,0.003,0.002,0.44,0.11,0.14,19.6%,18.3%,107,0.43,0.02,7.8%,60.9%,1m 10s,8.3%,0.44,3.44,0.78,0.54,0.03,2.24
https://www.hltv.org/stats/players/16599/swisher,Swisher,United States,26 years,M80,0.78,1.11,0.72,80.3,102.9,48.0%,1.14,17.8%,0.54,0.1,0.14,24.6%,24.6%,0.17,17.5%,0.58,0.11,0.11,21.4%,49.5%,73.2%,3.17,0.01,0.01,1.9%,1.0%,0.003,0.002,0.44,0.11,0.14,19.6%,20.0%,112,0.42,0.02,8.4%,63.4%,1m 2s,4.8%,0.81,5.72,1.26,0.71,0.06,2.4
https://www.hltv.org/stats/players/21167/donk,donk,Russia,17 years,Spirit,0.98,1.27,0.85,88.8,115.9,52.9%,1.35,22.2%,0.64,0.11,0.15,24.5%,24.5%,0.15,15.7%,0.87,0.14,0.11,25.2%,55.8%,74.1%,2.84,0.01,0.01,1.5%,1.0%,0.003,0.001,0.71,0.15,0.17,20.6%,19.5%,105,0.39,0.02,6.6%,69.2%,1m 5s,7.4%,0.28,3.63,0.64,0.39,0.02,2.0
https://www.hltv.org/stats/players/21243/wicadia,Wicadia,Turkey,19 years,Eternal Fire,0.7,1.06,0.7,76.1,101.8,47.0%,1.17,17.6%,0.57,0.11,0.14,26.3%,26.3%,0.15,16.5%,0.63,0.11,0.12,22.8%,48.2%,70.7%,2.75,0.01,0.01,1.9%,1.1%,0.002,0.002,0.4,0.11,0.13,18.9%,22.4%,108,0.44,0.02,8.7%,61.2%,1m 7s,6.3%,0.38,4.56,0.86,0.39,0.02,2.0
https://www.hltv.org/stats/players/20282/krasnal,kRaSnaL,Poland,21 years,Monte,0.57,1.05,0.67,74.9,95.7,45.8%,1.05,16.2%,0.81,0.12,0.16,28.7%,28.7%,0.17,19.1%,0.44,0.09,0.1,19.4%,48.5%,73.7%,2.91,0.01,0.01,1.5%,0.8%,0.002,0.001,0.44,0.1,0.14,20.4%,22.0%,112,0.36,0.02,7.7%,58.4%,1m 2s,5.9%,0.43,4.5,0.81,0.46,0.03,1.89
https://www.hltv.org/stats/players/22921/lake,Lake,United States,20 years,M80,0.91,1.17,0.76,85.0,115.3,49.0%,1.15,19.5%,0.78,0.12,0.16,26.5%,26.5%,0.21,16.1%,0.84,0.14,0.15,28.7%,49.3%,72.0%,3.26,0.01,0.01,1.1%,0.8%,0.002,0.001,0.42,0.12,0.13,17.7%,23.1%,112,0.44,0.02,7.5%,60.9%,1m 1s,4.8%,0.48,4.76,0.8,0.46,0.03,2.16
https://www.hltv.org/stats/players/17504/kei,KEi,Poland,23 years,Monte,0.84,1.11,0.73,82.2,108.2,48.6%,1.09,18.4%,0.34,0.09,0.13,21.2%,21.2%,0.15,15.7%,0.78,0.13,0.12,25.0%,50.5%,72.3%,3.08,0.01,0.01,1.2%,0.7%,0.002,0.002,0.29,0.09,0.13,17.6%,18.0%,112,0.39,0.02,8.9%,58.4%,1m 1s,5.0%,0.54,4.46,0.7,0.56,0.03,2.21
https://www.hltv.org/stats/players/22047/yxngstxr,yxngstxr,Sweden,20 years,Sangal,0.45,1.01,0.65,70.2,91.0,45.0%,0.97,15.8%,0.81,0.12,0.16,32.2%,32.2%,0.16,19.2%,0.35,0.09,0.11,19.3%,44.2%,72.5%,2.46,0.01,0.01,1.5%,1.0%,0.001,0.001,0.61,0.11,0.15,22.6%,25.4%,107,0.42,0.02,8.9%,67.9%,1m 2s,5.3%,0.29,3.42,0.55,0.41,0.03,1.99
https://www.hltv.org/stats/players/15071/interz,interz,Russia,24 years,Cloud9,0.14,0.99,0.58,63.1,76.0,41.4%,1.04,12.8%,0.54,0.1,0.13,28.6%,28.6%,0.12,25.7%,0.17,0.06,0.06,12.5%,48.6%,74.5%,2.49,0.01,0.01,1.9%,0.9%,0.002,0.001,0.57,0.1,0.14,24.1%,22.9%,109,0.46,0.02,10.2%,59.3%,1m 14s,12.2%,0.68,4.99,1.0,0.63,0.05,2.29
https://www.hltv.org/stats/players/19815/dytor,Dytor,Czech Republic,21 years,ECLOT,0.75,1.09,0.71,79.5,104.2,47.4%,1.19,17.4%,0.4,0.1,0.13,20.1%,20.1%,0.17,17.4%,0.59,0.11,0.11,21.9%,49.1%,69.8%,3.0,0.01,0.01,1.4%,0.8%,0.002,0.002,0.48,0.11,0.14,20.0%,21.4%,112,0.39,0.02,7.7%,59.6%,1m 3s,5.6%,0.44,4.96,1.02,0.4,0.03,2.27
