full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,team
https://www.hltv.org/stats/players/20101/fame?maps=all,0.67,0.44,0.47,0.53,0.47,0.75,0.17,0.64,0.59,0.44,0.09,0.13,0.2,0.26,0.12,0.18,0.46,0.11,0.14,0.2,0.19,1.07,0.64,0.11,0.1,0.21,0.52,0.73,0.03,0.47,0.02,0.08,0.61,1.17,0.08,0.01,0.01,0.02,0.01,0.003,0.002,0.44,0,0.78,0.54,0.03,2.25,fame,all,22.0,other
https://www.hltv.org/stats/players/13497/lucky?maps=all,0.62,0.37,0.46,0.44,0.44,0.77,0.16,0.64,0.34,0.49,0.1,0.13,0.21,0.26,0.16,0.2,0.45,0.1,0.14,0.2,0.21,1.13,0.44,0.09,0.09,0.18,0.52,0.74,0.03,0.54,0.02,0.1,0.63,1.12,0.08,0.11,0.06,0.09,0.05,0.02,0.01,0.69,0,1.27,0.49,0.04,2.62,Lucky,all,27.0,other
https://www.hltv.org/stats/players/19738/djoko?maps=all,0.61,0.37,0.46,0.49,0.35,0.75,0.17,0.65,0.53,0.69,0.12,0.15,0.22,0.28,0.15,0.17,0.4,0.11,0.13,0.19,0.21,1.1,0.66,0.11,0.12,0.24,0.47,0.73,0.03,0.35,0.02,0.07,0.64,1.02,0.06,0.0,0.0,0.01,0.0,0.001,0.0003,0.66,0,1.03,0.56,0.04,2.18,Djoko,all,28.0,other
https://www.hltv.org/stats/players/19739/ex3rcice?maps=all,0.48,0.3,0.45,0.35,0.3,0.71,0.16,0.51,0.43,0.39,0.1,0.13,0.2,0.24,0.14,0.2,0.52,0.11,0.14,0.21,0.22,1.08,0.29,0.08,0.08,0.16,0.49,0.73,0.03,0.62,0.03,0.1,0.66,1.1,0.07,0.0,0.01,0.01,0.01,0.001,0.001,0.54,0,0.73,0.61,0.04,2.07,Ex3rcice,all,25.0,other
https://www.hltv.org/stats/players/21969/graviti?maps=all,0.45,0.26,0.45,0.4,0.26,0.72,0.15,0.6,0.05,0.83,0.13,0.16,0.23,0.27,0.17,0.18,0.44,0.11,0.13,0.2,0.23,1.11,0.69,0.11,0.13,0.25,0.46,0.72,0.03,0.32,0.02,0.07,0.62,1.02,0.07,0.0,0.0,0.0,0.0,0.0003,0.0,0.63,0,0.83,0.6,0.05,2.27,Graviti,all,21.0,other
https://www.hltv.org/stats/players/8738/elige?maps=all,0.88,0.63,0.5,0.72,0.42,0.83,0.19,0.6,0.52,0.32,0.1,0.12,0.18,0.2,0.16,0.16,0.44,0.12,0.14,0.18,0.19,0.97,0.81,0.13,0.12,0.25,0.52,0.74,0.03,0.33,0.02,0.06,0.65,0.95,0.05,0.0,0.01,0.01,0.01,0.001,0.001,0.45,0,0.73,0.52,0.03,1.9,EliGE,all,27.0,other
https://www.hltv.org/stats/players/11630/jt?maps=all,0.36,0.15,0.43,0.26,0.23,0.71,0.15,0.49,0.1,0.8,0.12,0.16,0.23,0.28,0.15,0.2,0.41,0.11,0.13,0.2,0.2,1.13,0.5,0.1,0.11,0.21,0.47,0.74,0.03,0.45,0.02,0.1,0.62,1.02,0.05,0.03,0.02,0.03,0.01,0.004,0.004,0.77,0,0.78,0.84,0.08,2.5,JT,all,26.0,other
https://www.hltv.org/stats/players/12840/hallzerk?maps=all,0.66,0.48,0.48,0.56,0.47,0.73,0.18,0.61,0.43,0.31,0.1,0.12,0.19,0.23,0.1,0.17,0.56,0.11,0.15,0.22,0.19,1.02,0.7,0.12,0.08,0.2,0.58,0.74,0.02,0.71,0.03,0.12,0.64,1.42,0.07,0.93,0.36,0.51,0.28,0.1,0.08,0.56,0,0.68,0.63,0.07,2.56,hallzerk,all,24.0,other
https://www.hltv.org/stats/players/13578/grim?maps=all,0.75,0.48,0.47,0.6,0.47,0.78,0.18,0.72,0.6,0.85,0.12,0.17,0.24,0.31,0.14,0.17,0.67,0.13,0.16,0.22,0.2,1.09,0.51,0.1,0.11,0.21,0.49,0.72,0.03,0.42,0.02,0.08,0.62,1.07,0.06,0.0,0.01,0.01,0.0,0.001,0.0006,0.42,0,0.63,0.5,0.03,2.33,Grim,all,24.0,other
https://www.hltv.org/stats/players/16486/ztr?maps=all,0.38,0.19,0.44,0.33,0.21,0.7,0.15,0.53,0.05,0.49,0.1,0.14,0.2,0.24,0.15,0.18,0.44,0.1,0.13,0.21,0.22,1.12,0.33,0.08,0.1,0.19,0.45,0.74,0.03,0.61,0.03,0.1,0.7,1.1,0.06,0.0,0.0,0.01,0.0,0.001,0.0006,0.85,0,1.24,0.71,0.06,2.51,ztr,all,21.0,other
https://www.hltv.org/stats/players/20301/tauson?maps=all,0.5,0.26,0.45,0.37,0.3,0.74,0.16,0.57,0.41,0.42,0.1,0.13,0.2,0.23,0.15,0.19,0.39,0.1,0.13,0.2,0.21,1.12,0.5,0.1,0.11,0.21,0.48,0.71,0.03,0.44,0.02,0.1,0.59,1.1,0.07,0.01,0.01,0.02,0.01,0.003,0.002,0.46,0,0.92,0.45,0.03,2.13,Tauson,all,19.0,other
https://www.hltv.org/stats/players/20358/volt?maps=all,0.49,0.3,0.45,0.37,0.33,0.73,0.16,0.56,0.36,0.56,0.11,0.14,0.21,0.27,0.15,0.21,0.59,0.12,0.15,0.22,0.21,1.11,0.37,0.09,0.1,0.18,0.48,0.71,0.03,0.62,0.03,0.1,0.64,1.12,0.07,0.0,0.01,0.01,0.01,0.001,0.001,0.55,0,0.81,0.56,0.03,2.23,volt,all,23.0,other
https://www.hltv.org/stats/players/20870/sl3nd?maps=all,0.64,0.44,0.48,0.47,0.53,0.74,0.17,0.6,0.34,0.2,0.09,0.11,0.18,0.21,0.13,0.21,0.46,0.1,0.14,0.2,0.22,1.06,0.47,0.1,0.06,0.16,0.61,0.73,0.02,0.77,0.03,0.14,0.57,1.22,0.13,0.92,0.34,0.48,0.26,0.09,0.07,0.77,0,1.23,0.67,0.07,2.38,sl3nd,all,20.0,other
https://www.hltv.org/stats/players/20994/fl4mus?maps=all,0.64,0.37,0.46,0.53,0.37,0.76,0.17,0.7,0.48,0.59,0.11,0.15,0.21,0.26,0.17,0.18,0.4,0.11,0.13,0.19,0.23,1.11,0.7,0.12,0.12,0.24,0.49,0.72,0.03,0.4,0.02,0.08,0.6,1.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0,0.54,0.46,0.02,2.3,FL4MUS,all,20.0,other
https://www.hltv.org/stats/players/5794/tabsen?maps=all,0.81,0.52,0.47,0.65,0.3,0.83,0.18,0.44,0.43,0.2,0.1,0.11,0.16,0.18,0.16,0.16,0.15,0.09,0.1,0.15,0.18,0.92,0.69,0.12,0.12,0.24,0.49,0.73,0.03,0.32,0.02,0.06,0.62,0.83,0.05,0.06,0.04,0.05,0.03,0.01,0.008,0.83,0,1.24,0.67,0.05,2.41,tabseN,all,30.0,other
https://www.hltv.org/stats/players/7266/syrson?maps=all,0.7,0.56,0.49,0.63,0.44,0.74,0.18,0.56,0.4,0.12,0.08,0.1,0.16,0.18,0.1,0.16,0.24,0.09,0.12,0.17,0.18,0.96,0.85,0.14,0.1,0.23,0.59,0.76,0.02,0.63,0.03,0.12,0.6,1.03,0.08,0.95,0.45,0.61,0.34,0.12,0.11,0.4,0,0.68,0.52,0.05,2.35,syrsoN,all,29.0,other
https://www.hltv.org/stats/players/12708/rigon?maps=all,0.81,0.56,0.48,0.67,0.42,0.8,0.18,0.79,0.6,0.52,0.1,0.15,0.2,0.23,0.14,0.15,0.3,0.1,0.13,0.18,0.18,1.09,0.73,0.12,0.12,0.24,0.5,0.72,0.03,0.41,0.02,0.08,0.65,0.93,0.03,0.06,0.04,0.05,0.03,0.008,0.006,0.27,0,0.82,0.31,0.02,2.32,rigoN,all,25.0,other
https://www.hltv.org/stats/players/14929/jdc?maps=all,0.67,0.41,0.46,0.51,0.4,0.76,0.17,0.65,0.52,0.39,0.1,0.13,0.2,0.23,0.15,0.18,0.42,0.1,0.14,0.2,0.19,1.1,0.51,0.1,0.11,0.21,0.49,0.69,0.03,0.4,0.02,0.08,0.62,1.07,0.06,0.02,0.02,0.02,0.01,0.005,0.003,0.45,0,0.54,0.57,0.03,1.96,JDC,all,25.0,other
https://www.hltv.org/stats/players/19899/krimbo?maps=all,0.64,0.44,0.48,0.44,0.49,0.75,0.17,0.59,0.45,0.15,0.08,0.1,0.17,0.23,0.13,0.21,0.4,0.1,0.14,0.2,0.21,1.08,0.36,0.09,0.07,0.16,0.54,0.72,0.03,0.83,0.03,0.15,0.63,1.18,0.12,0.05,0.03,0.05,0.02,0.008,0.006,0.83,0,1.25,0.67,0.06,2.48,Krimbo,all,22.0,other
