full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/14236/oopee,oopee,57/100,1.02,0.68,74.1,100.8,46.0%,0.99,16.3%,45/100,0.10,0.14,23.7%,23.7%,0.14,16.0%,74/100,0.12,0.13,25.1%,48.7%,70.6%,2.66,1/100,0.01,1.7%,0.9%,0.003,0.002,27/100,36/100,34/100
https://www.hltv.org/stats/players/21988/opdust,opdust,7/100,0.78,0.49,60.0,87.1,33.8%,0.45,12.5%,59/100,0.07,0.17,31.2%,31.2%,0.19,18.1%,26/100,0.08,0.10,18.1%,44.8%,61.5%,2.54,0/100,0.00,0.0%,-,0.0,0.0,15/100,62/100,70/100
https://www.hltv.org/stats/players/24484/open,OpeN,1/100,0.42,0.27,56.2,46.0,20.0%,,6.7%,27/100,0.13,0.07,0.0%,0.0%,0.27,33.3%,0/100,0.0,0.07,6.7%,0.0%,-,2.27,0/100,0.00,0.0%,-,0.0,0.0,73/100,15/100,64/100
https://www.hltv.org/stats/players/24678/orb1t,Orb1t,32/100,0.83,0.61,60.9,81.9,40.1%,,16.8%,10/100,0.09,0.10,7.7%,7.7%,0.15,14.6%,10/100,0.04,0.09,13.1%,27.8%,80.0%,2.44,0/100,0.00,0.0%,-,0.0,0.0,97/100,85/100,50/100
https://www.hltv.org/stats/players/19117/orbit,Orbit,55/100,1.01,0.66,71.9,94.8,45.0%,1.24,17.2%,60/100,0.11,0.14,29.7%,29.7%,0.15,17.2%,51/100,0.10,0.12,22.5%,44.5%,67.5%,2.61,0/100,0.01,1.1%,0.6%,0.001,0.001,59/100,38/100,19/100
https://www.hltv.org/stats/players/24272/org,ORG,0/100,0.46,0.39,47.5,66.6,30.3%,,6.1%,97/100,0.15,0.24,44.4%,44.4%,0.03,6.1%,43/100,0.06,0.27,33.3%,18.2%,100.0%,1.55,0/100,0.00,0.0%,-,0.0,0.0,46/100,15/100,47/100
https://www.hltv.org/stats/players/24253/orphan,OrphaN,11/100,0.83,0.60,62.6,86.8,47.4%,,10.2%,57/100,0.09,0.17,10.0%,10.0%,0.15,14.6%,14/100,0.06,0.07,13.1%,44.4%,75.0%,2.42,0/100,0.01,1.2%,0.7%,0.0,0.0,89/100,79/100,48/100
https://www.hltv.org/stats/players/798/oskar,oskar,82/100,1.12,0.76,77.5,91.2,50.1%,,19.0%,4/100,0.07,0.09,14.1%,14.1%,0.11,15.7%,77/100,0.13,0.09,21.5%,59.4%,73.4%,1.96,94/100,0.43,56.6%,32.4%,0.12,0.09,16/100,55/100,55/100
https://www.hltv.org/stats/players/21976/oskvr,oskvr,50/100,0.99,0.65,73.6,107.9,44.9%,1.00,15.9%,42/100,0.08,0.14,31.0%,31.0%,0.14,16.8%,17/100,0.06,0.09,15.0%,39.6%,84.2%,2.64,0/100,0.00,0.0%,-,0.0,0.0,70/100,80/100,30/100
https://www.hltv.org/stats/players/24506/otto,Otto,0/100,0.71,0.44,49.1,66.0,36.5%,,6.2%,20/100,0.09,0.11,10.0%,10.0%,0.19,25.0%,14/100,0.04,0.10,14.6%,28.6%,100.0%,2.66,0/100,0.00,0.0%,-,0.0,0.0,40/100,92/100,75/100
