full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr,is_igl
https://www.hltv.org/stats/players/9816/aleksib,Aleksib,Finland,27 years,Natus Vincere,36/100,0.94,0.62,72.2,91.8,43.5%,,14.4%,64/100,0.11,0.15,27.1%,27.1%,0.17,20.8%,46/100,0.09,0.11,20.2%,46.7%,74.1%,3.1,3/100,0.02,3.1%,1.5%,0.004,0.003,31/100,0.09,0.12,19.7%,21.4%,116,35/100,0.01,8.5%,54.9%,1m 8s,6.6%,92/100,8.12,1.94,0.81,0.07,2.45,True
https://www.hltv.org/stats/players/14759/im,iM,Romania,25 years,Natus Vincere,83/100,1.12,0.73,81.5,107.3,48.8%,1.14,18.3%,37/100,0.09,0.13,23.5%,23.5%,0.14,15.8%,72/100,0.12,0.11,23.1%,51.6%,71.7%,2.97,0/100,0.01,1.0%,0.6%,0.001,0.0005,23/100,0.09,0.13,17.1%,17.2%,111,43/100,0.02,9.0%,59.1%,1m 3s,5.6%,38/100,3.69,0.64,0.46,0.03,2.18,False
https://www.hltv.org/stats/players/18987/b1t,b1t,Ukraine,21 years,Natus Vincere,68/100,1.12,0.7,75.8,97.4,47.5%,1.26,17.3%,42/100,0.09,0.13,23.0%,23.0%,0.13,19.1%,69/100,0.12,0.1,21.6%,53.6%,74.5%,2.51,1/100,0.01,1.8%,1.0%,0.003,0.002,32/100,0.1,0.13,18.5%,18.5%,108,45/100,0.02,8.1%,58.6%,1m 12s,9.2%,55/100,3.98,0.63,0.61,0.04,2.12,False
https://www.hltv.org/stats/players/19206/jl,jL,Lithuania,25 years,Natus Vincere,79/100,1.12,0.73,78.7,102.0,48.5%,1.12,18.2%,44/100,0.09,0.14,24.5%,24.5%,0.14,17.1%,60/100,0.11,0.1,20.7%,52.0%,74.1%,2.7,12/100,0.07,9.4%,5.1%,0.02,0.01,36/100,0.1,0.14,18.8%,19.2%,108,47/100,0.02,8.5%,69.7%,1m 9s,6.1%,56/100,4.55,0.86,0.56,0.04,2.25,False
https://www.hltv.org/stats/players/20127/w0nderful,w0nderful,Ukraine,20 years,Natus Vincere,81/100,1.2,0.76,76.6,97.1,51.4%,1.23,18.7%,27/100,0.09,0.11,24.5%,24.5%,0.1,18.7%,55/100,0.11,0.06,16.8%,63.3%,74.4%,2.12,91/100,0.32,41.8%,24.8%,0.08,0.07,64/100,0.12,0.16,21.1%,21.2%,101,71/100,0.03,14.0%,55.5%,1m 21s,13.2%,48/100,3.24,0.68,0.59,0.05,2.28,False
https://www.hltv.org/stats/players/7322/apex,apEX,France,31 years,Vitality,66/100,0.99,0.69,76.8,70.8,46.5%,,16.9%,15/100,0.1,0.1,15.4%,15.4%,0.16,16.4%,68/100,0.11,0.12,23.5%,48.0%,75.8%,2.91,0/100,0.01,1.3%,0.7%,0.001,0.002,9/100,0.09,0.09,13.1%,18.7%,80,22/100,0.01,5.6%,57.8%,0m 46s,4.1%,57/100,5.65,1.12,0.43,0.05,2.38,True
https://www.hltv.org/stats/players/11893/zywoo,ZywOo,France,24 years,Vitality,98/100,1.33,0.84,87.4,113.1,53.1%,1.43,22.3%,42/100,0.09,0.13,24.7%,24.7%,0.13,16.7%,89/100,0.15,0.09,24.3%,61.9%,73.6%,2.45,87/100,0.31,36.9%,22.9%,0.08,0.07,54/100,0.12,0.16,18.8%,17.8%,104,76/100,0.03,11.2%,67.3%,1m 9s,8.0%,61/100,3.69,0.96,0.69,0.06,2.35,False
https://www.hltv.org/stats/players/16693/flamez,flameZ,Israel,21 years,Vitality,71/100,1.12,0.7,77.9,101.0,46.9%,1.12,17.2%,77/100,0.11,0.16,30.1%,30.1%,0.15,18.6%,73/100,0.12,0.12,24.2%,49.4%,73.3%,2.9,0/100,0.01,0.8%,0.5%,0.0008,0.0005,45/100,0.11,0.14,19.6%,19.4%,111,49/100,0.02,8.2%,67.3%,1m 6s,6.9%,81/100,5.73,1.05,0.84,0.05,2.08,False
https://www.hltv.org/stats/players/18221/spinx,Spinx,Israel,24 years,Vitality,79/100,1.13,0.73,78.0,99.1,48.9%,1.1,18.4%,30/100,0.09,0.12,24.0%,24.0%,0.13,18.3%,51/100,0.1,0.09,18.8%,53.8%,72.8%,2.67,2/100,0.02,2.1%,1.1%,0.003,0.002,41/100,0.1,0.14,19.1%,19.2%,107,59/100,0.02,10.8%,66.8%,1m 8s,8.2%,30/100,3.46,0.73,0.39,0.02,2.41,False
https://www.hltv.org/stats/players/18462/mezii,mezii,United Kingdom,26 years,Vitality,69/100,1.11,0.7,77.4,96.4,47.0%,1.17,17.0%,44/100,0.1,0.13,27.8%,27.8%,0.14,20.8%,34/100,0.09,0.08,16.4%,52.8%,72.3%,2.86,4/100,0.03,4.2%,2.3%,0.006,0.005,59/100,0.11,0.15,21.7%,20.0%,111,68/100,0.03,12.1%,58.0%,1m 11s,7.3%,77/100,5.18,0.86,0.74,0.05,2.41,False
