a,b,euclid_z,euclid_z_norm,mahalanobis,cv_auc
apEX,sh1ro,6.96982898886719,0.6706721071546882,4.887244960212228,0.9520833333333334
ZywOo,kr1vda,6.984451737225386,0.6720791817715043,4.674459936719647,0.9375
ZywOo,zont1x,6.992953894757656,0.6728973022614958,4.898936903729655,0.875
OWNER,sh1ro,7.013217601422346,0.6748471783444354,4.924114505443522,0.9
Mzinho,Tr0ublE,7.022462102039764,0.6757367308311005,4.724867226483523,0.8166089965397922
ZywOo,electronic,7.028493779762931,0.676317129290623,4.673532659718454,0.875
donk,ropz,7.047422058513775,0.6781385037626391,5.22740395038727,0.9375
maggent,magixx,7.055861127242857,0.6789505535297133,4.902138221115935,0.9375
flameZ,magixx,7.075180061759158,0.6808095188702872,4.639210017632566,0.841796875
Tr0ublE,zont1x,7.085060585371083,0.6817602726981337,4.669226170864479,0.9227941176470588
Senzu,kr1vda,7.110032162446667,0.68416316382258,4.424456134379517,0.9342560553633218
OWNER,mezii,7.11110972451135,0.6842668522805989,4.501017983898902,0.9705882352941176
donk,fakerealityy,7.18362400135472,0.6912445418232006,4.703742354672066,0.8492647058823528
ZywOo,magixx,7.305822512505226,0.7030030990410867,4.835004676345653,0.91015625
OWNER,donk,7.32301399297112,0.704657350020212,4.468163463121292,0.8125
Senzu,ropz,7.400431131741388,0.7121068176716961,4.889237344228252,0.9595588235294117
Tr0ublE,tN1R,7.408394282709995,0.7128730722309167,4.596519482416583,0.8713235294117647
apEX,flameZ,7.445776085979719,0.7164701379276781,4.9947859594114306,1.0
Magisk,ZywOo,7.453851686853059,0.7172472129840266,4.2475250438240435,0.7794117647058822
Magisk,donk,7.470466594840703,0.7188459832505645,4.723616064468141,0.8731617647058824
Tr0ublE,sh1ro,7.473764600187991,0.7191633339630721,4.907481966375793,0.9235294117647059
donk,maggent,7.478331492032539,0.719602783335707,4.836349133398696,0.8897058823529411
Magisk,flameZ,7.480558635114534,0.7198170902786926,4.462083199677536,0.9705882352941176
ZywOo,maggent,7.511446320272387,0.722789259168781,4.900106656716404,0.963235294117647
ropz,s1mple,7.582885506763893,0.7296634980940409,5.01679269434741,0.9503676470588235
Tr0ublE,ZywOo,7.624331195695465,0.7336516113709396,4.823069104272748,0.8455882352941176
Senzu,ZywOo,7.642104526807076,0.7353618509545538,4.9072230415664295,0.875
flameZ,maggent,7.65118381730476,0.7362355060900353,4.842561222197491,0.9779411764705882
OWNER,flameZ,7.673418417125069,0.7383750314552984,4.636585130490625,0.9816176470588235
donk,kr1vda,7.6856062222143,0.7395478035468148,4.83440722383169,0.900735294117647
fakerealityy,flameZ,7.710317573947536,0.7419256544760187,4.407756707377199,0.8933823529411764
Mzinho,ropz,7.712615964238576,0.7421468171848911,4.947268294211528,0.9558823529411765
ropz,zont1x,7.794153752089129,0.7499927944789984,5.072819795406203,1.0
Senzu,apEX,7.799359096731857,0.7504936790007823,4.813001620300386,0.9411764705882353
flameZ,kr1vda,7.923869198775097,0.762474669156031,4.809474745610324,0.9375
Tr0ublE,mezii,8.02484366506184,0.7721909417046862,4.665282212654256,0.9779411764705882
ZywOo,ropz,8.121344724964924,0.7814767605233743,5.1245000396332605,0.9921875
ropz,sh1ro,8.210970219349438,0.7901009777415664,5.083674601971299,0.95625
Senzu,Tr0ublE,8.397279666817816,0.8080286126829729,4.551110008785207,0.9446366782006921
Tr0ublE,donk,8.700998167125825,0.8372539390014225,4.867284927061646,0.9044117647058824
electronic,ropz,8.730373161131196,0.8400805491174966,4.809112981727718,1.0
maggent,ropz,9.041193606377533,0.8699892604062653,4.920146874593346,0.8713235294117647
kr1vda,ropz,9.380256504156527,0.9026156029570848,5.299124228072349,0.9926470588235294
Tr0ublE,flameZ,9.421018162345431,0.9065378953450813,4.984008139791076,1.0
Magisk,ropz,9.4421360973753,0.9085699695907853,4.8123298398424526,0.8639705882352942
apEX,ropz,9.444471696441806,0.9087947127157463,5.1181505654823045,1.0
fakerealityy,ropz,9.610767642264502,0.9247965475633925,4.627796166144951,0.9963235294117647
magixx,ropz,9.939702646960438,0.9564483331479073,5.155003883077047,0.9375
OWNER,ropz,10.297151497723132,0.990843864849468,4.948067828158358,1.0
Tr0ublE,ropz,11.837298082835254,1.1390445391004624,5.187931850842004,1.0
