feature,family,icc1,eta2_H,p_kw,mean,sd,q_bh
stop_crouch_stop_frac,event,0.023807960880845316,0.015416323301493914,1.4202387368515781e-33,2.122765660647099e-18,0.9999626392714761,1.6317636551060682e-33
stop_speed_before,event,0.023704536096092087,0.04215341420403449,2.2772815914084546e-105,1.4599320831100424e-15,0.9999626523248929,3.3236001604339604e-105
peek_yaw_swing,event,0.021837359440593493,0.025871058683356554,5.3151143595245724e-61,-6.660177260280273e-17,0.9999626523965042,7.086819146032764e-61
peek_out_ms_mean,event,0.021162975301998493,0.023454560547619897,1.4909171192284882e-54,1.448787563391645e-16,0.999962652421191,1.8943417514903145e-54
stop_shot_delay_ms,event,0.020823862673681,0.02182052846001103,3.1849448887909945e-50,-7.111264963167781e-17,0.9999626524087483,3.908795999879857e-50
stop_shot_frac,event,0.020566333513285965,0.022064466770776957,7.218774442418133e-51,-5.0946375855530375e-17,0.9999626472775507,8.96123723886389e-51
peek_shots_mean,event,0.017469018721700483,0.017113619390732058,6.306514681256535e-38,-2.335042226711809e-17,0.999962650937437,7.403299843214193e-38
disp_20s,macro,0.0168097793664555,0.021142794537377444,1.953139037276045e-48,-7.058195821651603e-17,0.9999626524232902,2.3701013036608185e-48
dwell_CTRL_ms,keydyn,0.016726565429651914,0.04313512416432404,4.436538734123776e-108,-6.952057538619249e-17,0.9999626524239421,6.6548081011856635e-108
path_len,macro,0.016069965944358514,0.015897973415867125,8.366070315095219e-35,1.3373423662076722e-16,0.9999626524245218,9.715436494949286e-35
z_range,macro,0.01594381913272279,0.011446032903518597,1.2291684143148455e-23,-6.792850114070717e-17,0.9999626524165064,1.3545937627143194e-23
