full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,role,cluster_group
https://www.hltv.org/stats/players/11154/exit?maps=de_mirage,0.68,0.7,0.48,0.7,0.72,0.77,0.17,0.59,0.21,0.33,0.1,0.12,0.19,0.22,0.14,0.21,0.53,0.1,0.15,0.22,0.21,1.09,0.32,0.08,0.06,0.14,0.57,0.79,0.03,0.66,0.03,0.13,0.7,1.13,0.09,0.0,0.0,0.0,0.0,0.001,0.0,0.58,0.36,1.07,0.7,0.04,2.18,exit,de_mirage,28,Anchor,1
https://www.hltv.org/stats/players/18717/lucaozy?maps=de_mirage,0.84,0.74,0.5,0.74,0.74,0.81,0.19,0.62,0.23,0.29,0.09,0.12,0.19,0.21,0.14,0.17,0.27,0.09,0.13,0.17,0.19,1.09,0.71,0.12,0.11,0.23,0.51,0.72,0.03,0.37,0.01,0.11,0.46,1.03,0.12,0.04,0.03,0.04,0.02,0.006,0.005,0.41,0.34,0.74,0.54,0.03,1.87,Lucaozy,de_mirage,23,Entry,2
https://www.hltv.org/stats/players/18835/saffee?maps=de_mirage,0.58,0.7,0.48,0.7,0.7,0.71,0.17,0.56,0.23,0.15,0.08,0.1,0.17,0.23,0.09,0.17,0.29,0.09,0.13,0.19,0.2,1.01,0.69,0.12,0.08,0.2,0.6,0.73,0.02,0.51,0.02,0.12,0.46,1.17,0.09,0.93,0.4,0.56,0.31,0.1,0.09,0.58,0.2,0.64,0.86,0.07,2.42,saffee,de_mirage,30,AWP,3
https://www.hltv.org/stats/players/19750/drop?maps=de_mirage,0.23,0.6,0.43,0.59,0.63,0.66,0.14,0.49,0.21,0.48,0.08,0.14,0.22,0.33,0.13,0.22,0.24,0.09,0.11,0.19,0.24,1.1,0.24,0.08,0.09,0.16,0.47,0.71,0.02,0.47,0.02,0.1,0.46,1.17,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.37,0.89,0.56,0.03,1.94,drop,de_mirage,21,Anchor,1
https://www.hltv.org/stats/players/21037/insani?maps=de_mirage,0.89,0.74,0.49,0.75,0.74,0.85,0.19,0.67,0.25,0.51,0.09,0.15,0.21,0.22,0.19,0.17,0.39,0.1,0.14,0.19,0.2,1.14,0.74,0.12,0.12,0.24,0.52,0.66,0.03,0.28,0.01,0.08,0.39,1.08,0.06,0.01,0.01,0.01,0.01,0.002,0.001,0.48,0.37,0.57,0.57,0.04,2.03,insani,de_mirage,20,Entry,2
https://www.hltv.org/stats/players/18141/biguzera?maps=de_mirage,0.71,0.7,0.47,0.69,0.72,0.78,0.17,0.6,0.21,0.32,0.08,0.13,0.2,0.24,0.16,0.18,0.2,0.08,0.12,0.17,0.2,1.13,0.76,0.12,0.12,0.24,0.51,0.74,0.03,0.42,0.02,0.09,0.63,1.05,0.07,0.02,0.02,0.03,0.01,0.004,0.001,0.56,0.4,0.9,0.6,0.04,2.22,biguzera,de_mirage,28,Entry,2
https://www.hltv.org/stats/players/19694/nqz?maps=de_mirage,0.56,0.7,0.49,0.69,0.71,0.71,0.16,0.54,0.21,0.14,0.07,0.1,0.17,0.25,0.09,0.19,0.46,0.09,0.15,0.21,0.22,1.01,0.46,0.1,0.07,0.16,0.58,0.78,0.02,0.7,0.03,0.13,0.58,1.17,0.13,0.92,0.36,0.52,0.27,0.08,0.07,0.58,0.25,0.77,0.79,0.08,2.32,nqz,de_mirage,20,AWP,3
https://www.hltv.org/stats/players/20085/kauez?maps=de_mirage,0.76,0.72,0.48,0.72,0.71,0.78,0.18,0.61,0.21,0.45,0.09,0.14,0.21,0.24,0.14,0.16,0.22,0.08,0.12,0.17,0.17,1.08,0.67,0.11,0.11,0.22,0.5,0.77,0.02,0.34,0.02,0.09,0.63,0.98,0.06,0.02,0.02,0.03,0.01,0.003,0.002,0.33,0.25,0.56,0.5,0.03,2.38,kauez,de_mirage,21,Entry,2
https://www.hltv.org/stats/players/20171/snow?maps=de_mirage,0.58,0.69,0.47,0.67,0.69,0.73,0.16,0.56,0.22,0.67,0.11,0.15,0.22,0.32,0.15,0.2,0.33,0.11,0.12,0.18,0.23,1.07,0.57,0.11,0.1,0.2,0.52,0.73,0.03,0.36,0.01,0.09,0.47,1.05,0.09,0.04,0.03,0.04,0.02,0.005,0.005,0.33,0.3,1.14,0.48,0.03,2.02,snow,de_mirage,17,Support,1
https://www.hltv.org/stats/players/20563/lux?maps=de_mirage,0.73,0.71,0.48,0.71,0.72,0.78,0.17,0.59,0.25,0.24,0.08,0.12,0.18,0.2,0.16,0.18,0.19,0.08,0.12,0.17,0.22,1.1,0.69,0.12,0.11,0.22,0.52,0.72,0.03,0.56,0.03,0.09,0.76,1.05,0.07,0.03,0.02,0.03,0.02,0.003,0.004,0.73,0.55,0.83,0.68,0.04,2.12,lux,de_mirage,22,Anchor,2
