full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age
https://www.hltv.org/stats/players/17306/degster?maps=de_vertigo,0.86,0.77,50.9,1.02,1.17,78.1,19.8,102.9,0.98,0.19,0.09,0.1,16.9,21.8,0.1,17.3,0.49,0.1,0.15,19.9,20.0,102.0,0.62,0.11,0.08,19.2,58.4,73.2,2.16,0.5,0.02,11.4,38.9,0m 34s,10.6,0.9,0.31,40.0,25.2,0.09,0.08,0.33,2.62,1.26,0.45,0.04,2.38,degster,de_vertigo,23
https://www.hltv.org/stats/players/17306/degster?maps=de_ancient,0.7,0.73,50.0,0.97,1.13,73.7,17.7,95.0,1.36,0.35,0.1,0.11,19.0,28.2,0.1,18.6,0.52,0.1,0.15,20.9,19.5,100.0,0.44,0.09,0.05,15.0,63.4,77.2,1.91,0.44,0.01,13.4,42.4,1m 10s,10.3,0.93,0.36,48.5,29.7,0.11,0.05,0.45,2.88,0.79,0.58,0.05,2.14,degster,de_ancient,23
https://www.hltv.org/stats/players/17306/degster?maps=de_anubis,0.64,0.72,49.3,0.91,1.14,70.6,18.1,87.6,1.28,0.13,0.08,0.1,17.4,15.6,0.09,22.7,0.74,0.12,0.17,23.9,23.4,98.0,0.56,0.11,0.07,17.5,60.2,79.4,1.68,0.71,0.03,12.8,66.7,1m 13s,17.1,0.93,0.38,52.1,32.9,0.1,0.1,0.3,1.3,0.46,0.49,0.05,1.87,degster,de_anubis,23
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_train,0.03,0.5,39.5,0.68,0.84,61.4,8.2,76.5,0.45,0.24,0.09,0.12,17.2,17.4,0.17,20.2,0.25,0.05,0.11,22.1,20.5,122.0,0.5,0.1,0.09,19.3,51.1,75.0,2.37,0.43,0.02,11.5,66.7,1m 4s,4.5,0.1,0.05,10.7,3.3,0.01,0.008,0.67,4.41,1.23,0.59,0.05,3.37,kyxsan,de_train,24
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_nuke,0.33,0.62,43.7,0.85,0.96,68.4,14.7,85.8,0.95,0.66,0.11,0.15,22.0,26.5,0.13,18.3,0.23,0.08,0.12,18.7,23.8,109.0,0.19,0.07,0.09,16.5,44.5,66.1,2.75,0.31,0.01,8.3,46.7,1m 5s,5.1,0.0,0.0,0.4,0.2,0.0,0.0006,0.38,3.26,0.37,0.51,0.03,2.31,kyxsan,de_nuke,24
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_inferno,0.47,0.64,43.9,0.88,1.06,75.1,15.0,94.2,0.92,0.73,0.12,0.15,22.7,29.7,0.17,21.6,0.24,0.09,0.11,17.9,20.3,117.0,0.66,0.11,0.12,23.0,49.0,72.7,3.3,0.41,0.02,8.6,68.8,1m 9s,9.0,0.0,0.01,0.9,0.4,0.0005,0.002,0.94,10.79,1.85,1.01,0.09,2.54,kyxsan,de_inferno,24
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_mirage,0.52,0.66,45.9,0.88,1.04,73.4,15.9,92.7,0.99,0.29,0.08,0.13,19.2,24.3,0.14,19.6,0.19,0.07,0.12,18.2,19.5,111.0,0.23,0.07,0.09,16.8,43.5,74.4,2.83,0.68,0.03,10.7,67.9,1m 5s,5.1,0.0,0.01,1.2,0.6,0.001,0.001,0.79,5.18,1.06,0.89,0.06,2.12,kyxsan,de_mirage,24
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_dust2,0.39,0.63,42.9,0.84,1.01,70.5,15.2,85.6,0.99,0.52,0.1,0.14,20.9,25.3,0.14,22.2,0.24,0.09,0.12,18.5,21.7,112.0,0.27,0.08,0.1,17.4,45.0,74.5,2.8,0.44,0.02,9.6,47.4,1m 7s,6.5,0.0,0.01,0.8,0.4,0.0004,0.0004,0.86,5.83,0.85,1.02,0.08,2.28,kyxsan,de_dust2,24
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_vertigo,0.6,0.67,44.7,0.93,1.05,76.0,16.6,99.3,1.01,0.64,0.11,0.15,21.6,26.5,0.17,20.4,0.31,0.1,0.12,18.7,21.0,114.0,0.69,0.12,0.12,23.5,50.1,68.3,3.18,0.45,0.02,9.6,74.3,1m 4s,5.8,0.0,0.0,0.5,0.3,0.0003,0.0007,0.89,7.98,1.72,0.78,0.05,2.35,kyxsan,de_vertigo,24
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_ancient,0.46,0.64,44.9,0.87,1.03,73.8,15.1,92.9,0.94,0.68,0.11,0.15,22.1,31.2,0.16,20.6,0.27,0.09,0.12,18.6,22.0,115.0,0.47,0.1,0.1,19.9,49.2,69.0,3.14,0.55,0.03,9.5,61.8,1m 2s,5.6,0.0,0.0,0.2,0.2,0.0,0.001,0.86,6.41,0.91,0.82,0.06,2.23,kyxsan,de_ancient,24
