full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/21992/wasteofammo,WasteOfAmmo,Indonesia,24 years,No team,53/100,1.00,0.66,74.1,96.6,44.4%,1.16,15.9%,64/100,0.12,0.15,24.1%,24.1%,0.17,18.0%,51/100,0.10,0.11,20.9%,47.8%,71.4%,2.80,10/100,0.06,8.4%,3.4%,0.02,0.01,38/100,0.09,0.13,20.1%,22.3%,113,39/100,0.02,9.0%,81.2%,0m 57s,1.3%,74/100,4.75,0.60,0.74,0.07,2.49
https://www.hltv.org/stats/players/8727/waterfallz,waterfaLLZ,Russia,29 years,Nuclear TigeRES,58/100,1.00,0.68,72.3,78.3,46.5%,,16.8%,9/100,0.09,0.09,15.5%,15.5%,0.12,15.5%,72/100,0.12,0.11,22.5%,52.7%,72.5%,2.08,92/100,0.35,50.4%,26.3%,0.09,0.08,10/100,0.08,0.10,14.8%,18.2%,86,36/100,0.02,8.9%,56.4%,0m 51s,5.0%,54/100,3.24,0.72,0.64,0.05,2.29
https://www.hltv.org/stats/players/21317/watts,watts,Brazil,22 years,No team,35/100,0.96,0.63,69.2,87.5,43.9%,0.76,14.9%,35/100,0.10,0.12,27.7%,27.7%,0.13,19.5%,17/100,0.07,0.09,16.8%,43.5%,59.4%,2.67,0/100,0.00,0.2%,0.1%,0.0,0.0,52/100,0.10,0.14,22.4%,22.2%,110,64/100,0.02,13.2%,41.7%,1m 9s,9.3%,30/100,3.40,0.91,0.38,0.03,2.31
https://www.hltv.org/stats/players/21716/wazz,waZz,Romania,22 years,ROYALS,11/100,0.82,0.53,64.7,90.3,38.5%,0.95,12.3%,54/100,0.10,0.16,19.8%,19.8%,0.16,16.7%,54/100,0.10,0.15,25.4%,40.4%,61.1%,2.38,0/100,0.00,0.8%,0.4%,0.0,0.003,15/100,0.07,0.10,18.5%,21.4%,122,38/100,0.02,9.1%,27.3%,0m 54s,4.4%,38/100,3.80,0.0,0.51,0.02,2.09
https://www.hltv.org/stats/players/24258/wd,WD,India,23 years,No team,5/100,0.62,0.55,60.3,151.4,35.5%,0.42,9.7%,48/100,0.06,0.19,0.0%,0.0%,0.06,6.5%,29/100,0.06,0.03,9.7%,66.7%,100.0%,1.61,29/100,0.13,23.5%,6.5%,0.03,0.03,18/100,0.10,0.06,11.8%,29.4%,110,73/100,0.03,19.4%,100.0%,0m 46s,0.0%,2/100,1.19,0.0,0.16,0.0,1.25
https://www.hltv.org/stats/players/23542/weaver,wEAVER,Kazakhstan,22 years,ALLINNERS,44/100,1.01,0.64,71.1,96.3,42.3%,1.07,16.0%,76/100,0.10,0.17,38.5%,38.5%,0.16,19.2%,49/100,0.10,0.08,18.6%,54.4%,67.7%,2.61,0/100,0.00,0.0%,-,0.0,0.0,28/100,0.06,0.13,20.0%,25.6%,112,40/100,0.01,11.7%,66.7%,1m 8s,9.3%,40/100,3.66,0.0,0.50,0.05,2.25
https://www.hltv.org/stats/players/23746/weedfly,Weedfly,Pakistan,25 years,guardiaN5,54/100,0.89,0.67,76.5,153.4,42.4%,0.11,15.2%,80/100,0.18,0.18,16.7%,16.7%,0.18,15.2%,45/100,0.09,0.18,27.3%,33.3%,0.0%,3.09,0/100,0.00,0.0%,-,0.0,0.0,3/100,0.03,0.09,13.6%,18.2%,115,56/100,0.03,6.1%,100.0%,0m 39s,0.0%,40/100,7.48,0.0,0.30,0.0,1.81
https://www.hltv.org/stats/players/23109/weeza,Weeza,United States,20 years,LAG,30/100,0.92,0.62,70.1,101.9,43.2%,0.98,13.5%,67/100,0.11,0.16,24.0%,24.0%,0.20,16.0%,61/100,0.11,0.16,26.7%,40.3%,68.2%,2.57,3/100,0.02,3.2%,1.5%,0.005,0.005,55/100,0.11,0.14,21.9%,25.3%,113,37/100,0.02,7.2%,64.0%,0m 54s,2.1%,25/100,3.54,0.55,0.36,0.02,1.90
https://www.hltv.org/stats/players/15750/welho,Welho,Finland,24 years,Heimo,30/100,0.93,0.61,69.8,93.8,42.0%,0.95,14.1%,19/100,0.07,0.12,24.4%,24.4%,0.18,20.4%,19/100,0.07,0.10,16.8%,40.5%,72.8%,2.66,0/100,0.00,0.7%,0.3%,0.0007,0.0,45/100,0.09,0.14,22.3%,24.2%,114,34/100,0.01,9.3%,60.9%,1m 1s,4.1%,58/100,5.44,0.89,0.46,0.03,2.83
https://www.hltv.org/stats/players/24338/welnic,welnic,Romania,19 years,No team,13/100,0.83,0.57,65.3,91.6,40.8%,1.15,11.8%,30/100,0.10,0.12,25.0%,25.0%,0.14,18.4%,15/100,0.07,0.10,16.3%,40.0%,68.8%,2.09,0/100,0.00,0.0%,-,0.0,0.0,61/100,0.12,0.13,23.6%,20.0%,114,39/100,0.02,8.6%,50.0%,1m 5s,6.2%,12/100,2.05,0.0,0.34,0.01,1.87
