full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age
https://www.hltv.org/stats/players/19592/headtr1ck?maps=all,0.73,0.73,49.3,0.97,1.15,75.5,17.7,96.6,1.12,0.31,0.1,0.11,19.2,24.8,0.14,20.3,0.72,0.12,0.17,23.0,24.4,104.0,0.39,0.09,0.06,15.1,60.1,74.0,2.32,0.74,0.03,14.3,62.7,1m 12s,12.8,0.83,0.27,36.3,20.4,0.06,0.05,0.66,5.02,1.15,0.57,0.06,2.42,headtr1ck,all,20
https://www.hltv.org/stats/players/20112/alex666?maps=all,0.65,0.68,46.3,0.94,1.08,76.8,16.8,98.3,1.14,0.57,0.1,0.14,21.4,26.3,0.18,20.4,0.54,0.11,0.15,21.4,23.3,112.0,0.41,0.09,0.1,19.1,48.0,73.3,2.89,0.54,0.02,10.1,63.5,1m 4s,7.7,0.01,0.01,1.9,1.0,0.003,0.002,0.37,4.12,0.86,0.43,0.03,2.14,alex666,all,23
https://www.hltv.org/stats/players/21708/npl?maps=all,0.76,0.71,47.6,0.98,1.13,79.3,17.7,103.8,1.2,0.76,0.12,0.16,23.1,27.7,0.19,19.0,0.68,0.12,0.16,22.1,23.3,111.0,0.67,0.11,0.12,22.9,49.4,72.4,2.89,0.5,0.02,8.5,68.0,1m 3s,6.8,0.0,0.0,0.5,0.3,0.0007,0.0004,0.44,4.52,0.79,0.46,0.03,2.03,npl,all,19
https://www.hltv.org/stats/players/23643/esenthial?maps=all,0.28,0.62,42.9,0.83,0.97,66.2,14.7,85.1,0.97,0.84,0.12,0.16,24.5,34.6,0.17,22.1,0.64,0.11,0.14,23.0,28.8,108.0,0.31,0.08,0.09,17.7,46.8,73.9,2.3,0.52,0.02,9.6,64.5,1m 4s,7.8,0.0,0.0,0.4,0.2,0.0003,0.0002,0.18,3.23,0.63,0.28,0.02,1.83,esenthial,all,19
https://www.hltv.org/stats/players/11840/boombl4?maps=all,0.52,0.65,44.7,0.91,1.03,74.7,15.8,96.4,1.02,0.51,0.1,0.14,20.8,24.1,0.15,18.1,0.16,0.08,0.11,17.0,19.1,114.0,0.68,0.11,0.13,24.5,46.4,72.4,3.09,0.46,0.02,8.1,62.2,1m 5s,4.9,0.03,0.02,3.0,1.6,0.004,0.004,0.71,4.78,0.84,0.74,0.04,2.23,Boombl4,all,26
https://www.hltv.org/stats/players/15071/interz?maps=all,0.14,0.58,41.4,0.74,0.99,63.1,12.8,76.0,1.04,0.54,0.1,0.13,22.4,28.6,0.12,25.7,0.57,0.1,0.14,24.1,22.9,109.0,0.17,0.06,0.06,12.5,48.6,74.5,2.49,0.54,0.02,10.2,59.8,1m 14s,12.2,0.01,0.01,1.9,0.9,0.002,0.001,0.68,4.99,1.0,0.63,0.05,2.29,interz,all,24
https://www.hltv.org/stats/players/16555/ax1le?maps=all,0.8,0.72,48.1,0.99,1.15,80.1,18.2,102.8,1.21,0.39,0.09,0.13,20.2,22.7,0.15,19.2,0.3,0.1,0.13,17.7,18.9,111.0,0.63,0.11,0.09,20.2,54.5,76.1,3.0,0.48,0.02,9.1,63.8,1m 9s,9.3,0.03,0.02,3.0,1.7,0.005,0.003,0.74,5.41,1.12,0.72,0.04,2.18,Ax1Le,all,23
https://www.hltv.org/stats/players/20447/heavygod?maps=all,0.76,0.72,48.7,0.97,1.13,79.1,17.5,100.2,1.24,0.13,0.08,0.11,16.5,19.3,0.15,18.9,0.41,0.1,0.14,19.1,20.6,110.0,0.51,0.1,0.09,19.3,52.7,70.4,2.76,0.75,0.03,12.5,63.4,1m 9s,9.3,0.0,0.0,0.7,0.5,0.0007,0.0006,0.55,3.37,0.59,0.71,0.04,2.12,HeavyGod,all,22
https://www.hltv.org/stats/players/21439/icy?maps=all,0.59,0.71,48.4,0.95,1.14,69.5,17.3,91.1,1.12,0.22,0.09,0.1,18.0,27.6,0.1,20.1,0.73,0.12,0.17,23.4,24.5,98.0,0.56,0.11,0.07,17.4,61.8,72.9,1.83,0.89,0.04,15.0,65.0,1m 15s,13.8,0.93,0.36,50.6,28.4,0.1,0.08,0.51,3.23,0.96,0.58,0.06,2.52,ICY,all,19
https://www.hltv.org/stats/players/7528/krimz?maps=all,0.61,0.69,46.8,0.92,1.03,74.7,16.6,66.5,1.0,0.1,0.09,0.09,13.8,18.4,0.15,20.0,0.21,0.1,0.1,15.1,21.8,80.0,0.34,0.09,0.08,16.7,51.4,74.0,2.92,0.45,0.02,8.7,60.2,0m 50s,6.0,0.01,0.01,2.0,1.1,0.003,0.002,0.45,4.35,0.81,0.49,0.03,1.94,KRIMZ,all,31
https://www.hltv.org/stats/players/8374/bodyy?maps=all,0.6,0.67,45.6,0.93,0.98,76.4,16.4,93.3,0.99,0.54,0.11,0.14,20.4,25.2,0.16,17.6,0.22,0.09,0.12,17.3,18.5,107.0,0.66,0.11,0.12,22.8,49.3,73.1,2.77,0.38,0.02,8.2,60.7,0m 58s,5.0,0.01,0.01,2.0,1.1,0.003,0.002,0.68,5.06,0.86,0.65,0.04,2.06,bodyy,all,28
https://www.hltv.org/stats/players/13670/nawwk?maps=all,0.66,0.72,49.4,0.97,1.13,71.9,17.6,93.0,1.11,0.16,0.08,0.1,17.3,22.9,0.09,18.6,0.55,0.11,0.15,21.3,21.1,99.0,0.44,0.1,0.06,15.5,61.3,75.5,1.93,0.86,0.04,16.6,57.4,1m 15s,11.4,0.92,0.33,44.8,26.2,0.09,0.06,0.4,2.71,0.72,0.52,0.05,2.4,nawwk,all,27
https://www.hltv.org/stats/players/15165/blamef?maps=all,0.91,0.77,51.0,1.03,1.23,85.4,19.0,108.3,1.17,0.1,0.07,0.1,16.3,20.7,0.15,19.6,0.42,0.1,0.15,19.0,19.3,111.0,0.74,0.12,0.08,20.6,59.9,75.1,3.3,0.76,0.03,14.8,56.8,1m 11s,13.6,0.0,0.01,0.8,0.5,0.001,0.0009,0.71,7.2,1.53,0.53,0.04,2.39,blameF,all,27
https://www.hltv.org/stats/players/21062/matys?maps=all,0.91,0.77,49.4,1.1,1.15,82.7,19.9,111.0,1.22,0.72,0.12,0.16,22.0,26.6,0.15,15.6,0.61,0.13,0.15,20.1,20.2,108.0,0.78,0.13,0.12,24.6,51.6,71.4,2.69,0.33,0.02,5.7,70.6,1m 1s,5.5,0.0,0.0,0.6,0.4,0.001,0.0005,0.45,3.8,0.54,0.53,0.03,2.26,MATYS,all,23
https://www.hltv.org/stats/players/15662/zorte?maps=all,0.67,0.72,48.9,0.96,1.14,72.9,17.7,93.9,1.17,0.22,0.09,0.11,18.4,22.1,0.1,18.3,0.54,0.11,0.15,21.0,18.8,101.0,0.71,0.12,0.08,20.0,61.1,73.6,1.88,0.71,0.03,13.4,59.4,1m 9s,10.8,0.92,0.35,48.6,27.4,0.09,0.09,0.61,2.86,0.66,0.88,0.07,2.38,zorte,all,26
https://www.hltv.org/stats/players/18506/s1ren?maps=all,0.49,0.66,45.9,0.88,1.05,72.1,15.7,90.4,1.09,0.63,0.11,0.14,21.7,31.1,0.15,20.5,0.66,0.12,0.15,23.1,22.6,109.0,0.25,0.08,0.08,15.6,49.0,73.7,2.57,0.53,0.02,10.8,62.4,1m 7s,7.3,0.0,0.0,0.6,0.4,0.0005,0.0,0.3,3.53,0.84,0.38,0.03,2.2,S1ren,all,22
https://www.hltv.org/stats/players/21667/magnojez?maps=all,0.79,0.72,48.1,1.01,1.12,80.9,17.8,106.9,1.18,0.59,0.1,0.15,21.1,25.3,0.18,17.2,0.23,0.09,0.12,16.8,20.9,113.0,0.81,0.13,0.14,26.9,49.2,71.6,3.04,0.4,0.02,7.7,60.5,1m 3s,5.6,0.02,0.02,2.4,1.3,0.003,0.002,0.62,5.88,1.13,0.5,0.03,2.35,Magnojez,all,20
https://www.hltv.org/stats/players/12092/max?maps=all,0.6,0.67,46.1,0.92,1.08,77.1,16.1,99.3,1.11,0.52,0.1,0.14,20.9,24.3,0.16,18.9,0.27,0.09,0.12,18.4,18.5,115.0,0.68,0.11,0.12,23.3,48.8,74.4,3.01,0.4,0.02,8.8,62.4,1m 7s,7.0,0.01,0.01,1.3,0.8,0.002,0.001,0.62,5.25,0.73,0.53,0.04,2.52,max,all,25
